v_0,energy
0.0,9.869604401089362
10.204081632653061,22.02040680718327
20.408163265306122,30.46624091574764
30.612244897959183,30.882492858773098
40.816326530612244,34.83068431396507
51.0204081632653,36.676208271910355
61.224489795918366,39.411235053817265
71.42857142857143,42.23706548191713
81.63265306122449,45.272406870743374
91.83673469387755,48.59483014457734
102.0408163265306,49.507866719997196
112.24489795918367,53.54874449028898
122.44897959183673,55.34397357926143
132.6530612244898,57.7145569149541
142.85714285714286,60.95770320557718
153.0612244897959,63.59865197833153
163.26530612244898,65.24959376441721
173.46938775510205,67.52817863053255
183.6734693877551,71.50539558946551
193.87755102040816,80.66501119551567
204.0816326530612,85.20188518655289
214.28571428571428,85.30470554160624
224.48979591836735,81.5379847308686
234.6938775510204,86.67625663628505
244.89795918367346,92.97227637212816
255.10204081632654,93.46783342608981
265.3061224489796,96.15847775855185
275.51020408163265,94.38051113821079
285.7142857142857,102.7947965042009
295.9183673469388,99.03623769412499
306.1224489795918,106.61056601304291
316.3265306122449,114.79922568325857
326.53061224489795,118.73277181346285
336.734693877551,115.68991287999438
346.9387755102041,116.6799599255079
357.1428571428571,125.86456175914206
367.3469387755102,126.4080130234106
377.55102040816325,130.47209435916966
387.7551020408163,124.80538934873628
397.9591836734694,128.33533905550001
408.1632653061224,136.83174132304805
418.3673469387755,137.47439210781758
428.57142857142856,138.06910011392108
438.7755102040816,155.36870507679305
448.9795918367347,145.96705475384118
459.18367346938777,151.95889749527794
469.3877551020408,156.0828484895431
479.59183673469386,153.09268684096503
489.7959183673469,160.7551019304331
500.0,154.510262242291
