alpha,energy
1.5,0.022589221669764094
1.5,0.021192829181970484
1.5,0.007989910725504297
1.5,0.011951906636598533
1.5,0.024115188742191093
1.5,0.007567804908032669
1.5,0.02260427134118757
1.5,0.016333258598976157
1.5,0.006970527101920452
1.5,0.02289535818663803
1.5,0.019499470817693924
1.5,0.021487276962038664
1.5,0.021917614146156648
1.5,0.021865411813353674
1.5,0.008412031836468947
1.5,0.02357573208017683
1.5,0.01676875920086197
1.5,0.01988987429999542
1.5,0.01944091093414076
1.5,0.01204937640420033
1.5,0.023817546082766976
1.5,0.02128673337351274
1.5,0.013939733443907306
1.5,0.02107250754371575
1.5,0.023841960186638197
1.5,0.020662512017287662
1.5,0.023949862025582025
1.5,0.00524630368190847
1.5,0.021449603038877472
1.5,0.02112528559569345
1.5,0.014453070797907223
1.5,0.013418765046982889
1.5,0.013359618477089746
1.5,0.01576157942861889
1.5,0.02068331755239871
1.5,0.006820570198651142
1.5,0.006570419641914356
1.5,0.014661113645478322
1.5,0.022930688590923377
1.5,0.02229420563846834
1.5,0.018261856762297725
1.5,0.005811070372364323
1.5,0.015660162164008593
1.5,0.005490551677841066
1.5,0.016048231843166724
1.5,0.013924542452642782
1.5,0.0066731945291607555
1.5,0.012103439846309991
1.5,0.005801924138783436
1.5,0.020566793043863767
