v_0,energy
0.0,9.86960440108936
0.05025125628140704,9.94489600071917
0.10050251256281408,10.0200170337121
0.15075376884422112,10.0949675089111
0.20100502512562815,10.1697474410523
0.2512562814070352,10.2443568507630
0.30150753768844224,10.3187957645578
0.35175879396984927,10.3930642148343
0.4020100502512563,10.4671622398670
0.45226130653266333,10.5410898838014
0.5025125628140704,10.6148471966456
0.5527638190954774,10.6884342342624
0.6030150753768845,10.7618510583592
0.6532663316582915,10.8350977364776
0.7035175879396985,10.9081743419817
0.7537688442211056,10.9810809540457
0.8040201005025126,11.0538176576399
0.8542713567839196,11.1263845435165
0.9045226130653267,11.1987817081939
0.9547738693467337,11.2710092539404
1.0050251256281408,11.3430672887562
1.0552763819095479,11.4149559263558
1.105527638190955,11.4866752861478
1.155778894472362,11.5582254932153
1.206030150753769,11.6296066782940
1.256281407035176,11.7008189777506
1.306532663316583,11.7718625335596
1.35678391959799,11.8427374932789
1.407035175879397,11.9134440100256
1.4572864321608041,11.9839822424497
1.5075376884422111,12.0543523547078
1.5577889447236182,12.1245545164353
1.6080402010050252,12.1945889027185
1.6582914572864322,12.2644556940649
1.7085427135678393,12.3341550763735
1.7587939698492463,12.4036872409038
1.8090452261306533,12.4730523842442
1.8592964824120604,12.5422507082797
1.9095477386934674,12.6112824201581
1.9597989949748744,12.6801477322569
2.0100502512562817,12.7488468621476
2.0603015075376887,12.8173800325607
2.1105527638190957,12.8857474713496
2.1608040201005028,12.9539494114529
2.21105527638191,13.0219860908576
2.261306532663317,13.0898577525600
2.311557788944724,13.1575646445273
2.361809045226131,13.2251070196571
2.412060301507538,13.2924851357379
2.462311557788945,13.3596992554075
2.512562814070352,13.4267496461116
2.562814070351759,13.4936365800613
2.613065326633166,13.5603603341909
2.663316582914573,13.6269211901138
2.71356783919598,13.6933194340791
2.763819095477387,13.7595553569266
2.814070351758794,13.8256292540422
2.864321608040201,13.8915414253120
2.9145728643216082,13.9572921750768
2.9648241206030153,14.0228818120847
3.0150753768844223,14.0883106494450
3.0653266331658293,14.1535790045802
3.1155778894472363,14.2186871991782
3.1658291457286434,14.2836355591441
3.2160804020100504,14.3484244145516
3.2663316582914574,14.4130540995936
3.3165829145728645,14.4775249525328
3.3668341708542715,14.5418373156521
3.4170854271356785,14.6059915352043
3.4673366834170856,14.6699879613614
3.5175879396984926,14.7338269481642
3.5678391959798996,14.7975088534707
3.6180904522613067,14.8610340389053
3.6683417085427137,14.9244028698067
3.7185929648241207,14.9876157151761
3.7688442211055277,15.0506729476253
3.819095477386935,15.1135749433241
3.869346733668342,15.1763220819481
3.919597989949749,15.2389147466255
3.969849246231156,15.3013533238848
4.020100502512563,15.3636382036011
4.07035175879397,15.4257697789436
4.120603015075377,15.4877484463217
4.170854271356784,15.5495746053321
4.2211055276381915,15.6112486587049
4.2713567839195985,15.6727710122501
4.3216080402010055,15.7341420748042
4.371859296482413,15.7953622581761
4.42211055276382,15.8564319770937
4.472361809045227,15.9173516491499
4.522613065326634,15.9781216947492
4.572864321608041,16.0387425370531
4.623115577889448,16.0992146019276
4.673366834170855,16.1595383178881
4.723618090452262,16.2197141160469
4.773869346733669,16.2797424300589
4.824120603015076,16.3396236960682
4.874371859296483,16.3993583526548
4.92462311557789,16.4589468407810
4.974874371859297,16.5183896037383
5.025125628140704,16.5776870870942
5.075376884422111,16.6368397386391
5.125628140703518,16.6958480083337
5.175879396984925,16.7547123482558
5.226130653266332,16.8134332125485
5.276381909547739,16.8720110573671
5.326633165829146,16.9304463408271
5.376884422110553,16.9887395229527
5.42713567839196,17.0468910656242
5.477386934673367,17.1049014325274
5.527638190954774,17.1627710891012
5.577889447236181,17.2205005024874
5.628140703517588,17.2780901414796
5.678391959798995,17.3355404764722
5.728643216080402,17.3928519794107
5.778894472361809,17.4500251237414
5.8291457286432165,17.5070603843614
5.8793969849246235,17.5639582375694
5.9296482412060305,17.6207191610165
5.9798994974874375,17.6773436336575
6.030150753768845,17.7338321357019
6.080402010050252,17.7901851485661
6.130653266331659,17.8464031548252
6.180904522613066,17.9024866381658
6.231155778894473,17.9584360833385
6.28140703517588,18.0142519761111
6.331658291457287,18.0699348032222
6.381909547738694,18.1254850523349
6.432160804020101,18.1809032119913
6.482412060301508,18.2361897715667
6.532663316582915,18.2913452212250
6.582914572864322,18.3463700518739
6.633165829145729,18.4012647551205
6.683417085427136,18.4560298232277
6.733668341708543,18.5106657490707
6.78391959798995,18.5651730260940
6.834170854271357,18.6195521482685
6.884422110552764,18.6738036100497
6.934673366834171,18.7279279063357
6.984924623115578,18.7819255324256
7.035175879396985,18.8357969839791
7.085427135678392,18.8895427569754
7.135678391959799,18.9431633476734
7.185929648241206,18.9966592525721
7.236180904522613,19.0500309683711
7.28643216080402,19.1032789919321
7.336683417085427,19.1564038202403
7.386934673366834,19.2094059503667
7.437185929648241,19.2622858794307
7.4874371859296485,19.3150441045625
7.5376884422110555,19.3676811228674
7.5879396984924625,19.4201974313890
7.63819095477387,19.4725935270739
7.688442211055277,19.5248699067363
7.738693467336684,19.5770270670232
7.788944723618091,19.6290655043803
7.839195979899498,19.6809857150180
7.889447236180905,19.7327881948780
7.939698492462312,19.7844734396002
7.989949748743719,19.8360419444905
8.040201005025127,19.8874942044886
8.090452261306533,19.9388307141363
8.14070351758794,19.9900519675466
8.190954773869347,20.0411584583728
8.241206030150755,20.0921506797785
8.291457286432161,20.1430291244074
8.341708542713569,20.1937942843545
8.391959798994975,20.2444466511369
8.442211055276383,20.2949867156654
8.492462311557789,20.3454149682167
