alpha,energy
1.0,-0.00941853104806851
1.0010050251256282,-0.00931313405033714
1.0020100502512563,-0.00920834608532510
1.0030150753768845,-0.00910416687499260
1.0040201005025127,-0.00900059614121048
1.0050251256281406,-0.00889763360577553
1.0060301507537688,-0.00879527899042615
1.007035175879397,-0.00869353201685690
1.0080402010050251,-0.00859239240673330
1.0090452261306533,-0.00849185988170640
1.0100502512562815,-0.00839193416342558
1.0110552763819096,-0.00829261497355306
1.0120603015075378,-0.00819390203377630
1.0130653266331657,-0.00809579506582128
1.014070351758794,-0.00799829379146443
1.015075376884422,-0.00790139793254456
1.0160804020100502,-0.00780510721097490
1.0170854271356784,-0.00770942134875386
1.0180904522613066,-0.00761434006797626
1.0190954773869347,-0.00751986309084358
1.020100502512563,-0.00742599013967411
1.0211055276381908,-0.00733272093691295
1.022110552763819,-0.00724005520514092
1.0231155778894472,-0.00714799266708430
1.0241206030150753,-0.00705653304562296
1.0251256281407035,-0.00696567606379880
1.0261306532663317,-0.00687542144482396
1.0271356783919598,-0.00678576891208839
1.028140703517588,-0.00669671818916713
1.0291457286432162,-0.00660826899982713
1.0301507537688441,-0.00652042106803463
1.0311557788944723,-0.00643317411796044
1.0321608040201005,-0.00634652787398704
1.0331658291457286,-0.00626048206071375
1.0341708542713568,-0.00617503640296227
1.035175879396985,-0.00609019062578201
1.0361809045226131,-0.00600594445445510
1.0371859296482413,-0.00592229761450067
1.0381909547738692,-0.00583924983167949
1.0391959798994974,-0.00575680083199809
1.0402010050251256,-0.00567495034171265
1.0412060301507537,-0.00559369808733271
1.042211055276382,-0.00551304379562454
1.04321608040201,-0.00543298719361432
1.0442211055276382,-0.00535352800859147
1.0452261306532664,-0.00527466596811128
1.0462311557788944,-0.00519640079999753
1.0472361809045225,-0.00511873223234512
1.0482412060301507,-0.00504165999352244
1.0492462311557789,-0.00496518381217342
1.050251256281407,-0.00488930341721989
1.0512562814070352,-0.00481401853786296
1.0522613065326634,-0.00473932890358520
1.0532663316582915,-0.00466523424415237
1.0542713567839197,-0.00459173428961489
1.0552763819095476,-0.00451882877030906
1.0562814070351758,-0.00444651741685871
1.057286432160804,-0.00437479996017664
1.0582914572864321,-0.00430367613146541
1.0592964824120603,-0.00423314566221878
1.0603015075376885,-0.00416320828422278
1.0613065326633166,-0.00409386372955660
1.0623115577889448,-0.00402511173059345
1.0633165829145728,-0.00395695202000192
1.064321608040201,-0.00388938433074631
1.065326633165829,-0.00382240839608763
1.0663316582914573,-0.00375602394958445
1.0673366834170854,-0.00369023072509347
1.0683417085427136,-0.00362502845677035
1.0693467336683418,-0.00356041687907012
1.07035175879397,-0.00349639572674781
1.0713567839195979,-0.00343296473485931
1.072361809045226,-0.00337012363876144
1.0733668341708542,-0.00330787217411262
1.0743718592964824,-0.00324621007687338
1.0753768844221105,-0.00318513708330661
1.0763819095477387,-0.00312465292997808
1.0773869346733669,-0.00306475735375665
1.078391959798995,-0.00300545009181459
1.0793969849246232,-0.00294673088162809
1.0804020100502512,-0.00288859946097753
1.0814070351758793,-0.00283105556794750
1.0824120603015075,-0.00277409894092766
1.0834170854271357,-0.00271772931861294
1.0844221105527638,-0.00266194644000394
1.085427135678392,-0.00260675004440790
1.0864321608040202,-0.00255213987143920
1.0874371859296483,-0.00249811566102057
1.0884422110552763,-0.00244467715338431
1.0894472361809044,-0.00239182408907369
1.0904522613065326,-0.00233955620894545
1.0914572864321608,-0.00228787325417174
1.092462311557789,-0.00223677496624376
1.0934673366834171,-0.00218626108697498
1.0944723618090453,-0.00213633135850629
1.0954773869346734,-0.00208698552331144
1.0964824120603014,-0.00203822332420369
1.0974874371859296,-0.00199004450434400
1.0984924623115577,-0.00194244880725060
1.099497487437186,-0.00189543597681073
1.100502512562814,-0.00184900575729333
1.1015075376884422,-0.00180315789336543
1.1025125628140704,-0.00175789213010983
1.1035175879396986,-0.00171320821304645
1.1045226130653267,-0.00166910588815685
1.1055276381909547,-0.00162558490191174
1.1065326633165828,-0.00158264500130313
1.107537688442211,-0.00154028593388068
1.1085427135678392,-0.00149850744779270
1.1095477386934673,-0.00145730929183244
1.1105527638190955,-0.00141669121549021
1.1115577889447237,-0.00137665296901127
1.1125628140703518,-0.00133719430346056
1.1135678391959798,-0.00129831497079400
1.114572864321608,-0.00126001472393713
1.1155778894472361,-0.00122229331687097
1.1165829145728643,-0.00118515050472511
1.1175879396984925,-0.00114858604387891
1.1185929648241206,-0.00111259969206863
1.1195979899497488,-0.00107719120850140
1.120603015075377,-0.00104236035397457
1.121608040201005,-0.00100810689099819
1.122613065326633,-0.000974430583918832
1.1236180904522612,-0.000941331199041398
1.1246231155778894,-0.000908808504744189
1.1256281407035176,-0.000876862271581332
1.1266331658291457,-0.000845492272364872
1.127638190954774,-0.000814698282215903
1.128643216080402,-0.000784480078571495
1.1296482412060302,-0.000754837441130258
1.1306532663316582,-0.000725770151714517
1.1316582914572864,-0.000697277994020970
1.1326633165829145,-0.000669360753225169
1.1336683417085427,-0.000642018215394724
1.1346733668341709,-0.000615250166656479
1.135678391959799,-0.000589056392048570
1.1366834170854272,-0.000563436673972396
1.1376884422110551,-0.000538390790139446
1.1386934673366833,-0.000513918510885983
1.1396984924623115,-0.000490019595699592
1.1407035175879396,-0.000466693788771714
1.1417085427135678,-0.000443940813352252
1.142713567839196,-0.000421760364642893
1.1437185929648241,-0.000400152100919533
1.1447236180904523,-0.000379115632525934
1.1457286432160805,-0.000358650508330791
1.1467336683417084,-0.000338756199189692
1.1477386934673366,-0.000319432077908807
