alpha,energy
0.1,-0.4068169591991501
0.1,-0.4067352044874668
0.1,-0.40733930520812195
0.1,-0.40640514928398735
0.1,-0.40728830696734347
0.1,-0.40706886065503833
0.1,-0.40694135935334164
0.1,-0.4073496474333975
0.1,-0.4070852319997912
0.1,-0.40711987622028256
0.1,-0.4070961478681145
0.1,-0.40665395825458683
0.1,-0.40659229640740113
0.1,-0.4069891951443366
0.1,-0.4056046684985667
0.1,-0.4051300783665493
0.1,-0.40720759246176946
0.1,-0.4068054386815487
0.1,-0.4068293264244468
0.1,-0.40713396508676003
0.1,-0.40712004224301396
0.1,-0.40668183876804787
0.1,-0.40698492638732336
0.1,-0.4067926456039205
0.1,-0.4070036047774787
0.1,-0.4069769663283272
0.1,-0.4072602772246896
0.1,-0.4066618658449171
0.1,-0.40612726384281667
0.1,-0.4066276529531494
0.1,-0.4073426490386506
0.1,-0.40694935658897885
0.1,-0.405874661093261
0.1,-0.407148789548351
0.1,-0.40727025566969965
0.1,-0.4071065245241447
0.1,-0.406734755521527
0.1,-0.4072256313814246
0.1,-0.4068196004699983
0.1,-0.40625222288418544
0.1,-0.40720152986756203
0.1,-0.4066490134360159
0.1,-0.4072540864546821
0.1,-0.4043462361292633
0.1,-0.40708897216643347
0.1,-0.40693938734642054
0.1,-0.40729385867792606
0.1,-0.4070046953228791
0.1,-0.4070168979423012
0.1,-0.4071899860799228
