v0,energy_0,energy_1,energy_2,energy_3
0.0,9.86960440108936,24.6740110027234,24.6740110027234,39.4784176043575
0.5025125628140703,10.6148471966456,25.6790361283515,24.6740110027234,40.2407124972434
1.0050251256281406,11.3430672887562,26.6840612539797,24.6740110027234,41.0200300935750
1.507537688442211,12.0543523547078,27.6890863796078,24.6740110027234,41.8162827160657
2.0100502512562812,12.7488468621476,28.6941115052360,24.6740110027234,42.6293258970681
2.5125628140703515,13.4267496461116,29.6991366308641,24.6740110027234,43.4589608015463
3.015075376884422,14.0883106494450,30.7041617564923,24.6740110027234,44.3049374866551
3.517587939698492,14.7338269481642,31.7091868821204,24.6740110027234,45.1669588763781
4.0201005025125625,15.3636382036011,32.7142120077485,24.6740110027234,46.0446853093834
4.522613065326633,15.9781216947492,33.7192371333767,24.6740110027234,46.9377395066776
5.025125628140703,16.5776870870942,34.7242622590048,24.6740110027234,47.8457118027747
5.527638190954773,17.1627710891012,35.7292873846330,24.6740110027234,48.7681654892100
6.030150753768844,17.7338321357019,36.7343125102611,24.6740110027234,49.7046421310514
6.532663316582914,18.2913452212250,37.7393376358892,24.6740110027234,50.6546667339705
7.035175879396984,18.8357969839791,38.7443627615174,24.6740110027234,51.6177526596587
7.537688442211055,19.3676811228674,39.7493878871455,24.6740110027234,52.5934062092126
8.040201005025125,19.8874942044886,40.7544130127737,24.6740110027234,53.5811308160336
8.542713567839195,20.3957318984054,41.7594381384018,24.6740110027234,54.5804308105590
9.045226130653266,20.8928856595396,42.7644632640299,24.6740110027234,55.5908147378670
9.547738693467336,21.3794398605580,43.7694883896581,24.6740110027234,56.6117982252908
10.050251256281406,21.8558693639234,44.7745135152862,24.6740110027234,57.6429064103676
10.552763819095476,22.3226375130353,45.7795386409144,24.6740110027234,58.6836759496980
11.055276381909547,22.7801945144148,46.7845637665425,24.6740110027234,59.7336566367607
11.557788944723617,23.2289761779311,47.7895888921706,24.6740110027234,60.7924126616865
12.060301507537687,23.6694029792542,48.7946140177988,24.6740110027234,61.8595235488057
12.562814070351758,24.1018794076862,49.7996391434269,24.6740110027234,62.9345848088160
13.065326633165828,24.5267935628847,50.8046642690551,24.6740110027234,64.0172083420596
13.567839195979898,24.9445169653963,51.8096893946832,24.6740110027234,65.1070226279903
14.070351758793969,25.3554045480647,52.8147145203114,24.6740110027234,66.2036727337640
14.572864321608039,25.7597947980018,53.8197396459395,24.6740110027234,67.3068201722691
15.07537688442211,26.1580100216876,54.8247647715676,24.6740110027234,68.4161426370256
15.57788944723618,26.5503567087517,55.8297898971958,24.6740110027234,69.5313336384037
16.08040201005025,26.9371259729357,56.8348150228239,24.6740110027234,70.6521020626619
16.58291457286432,27.3185940515651,57.8398401484521,24.6740110027234,71.7781716724747
17.08542713567839,27.6950228475141,58.8448652740802,24.6740110027234,72.9092805649679
17.587939698492463,28.0666605000753,59.8498903997083,24.6740110027234,74.0451806008490
18.09045226130653,28.4337419733461,60.8549155253365,24.6740110027234,75.1856368160203
18.5929648241206,28.7964896527028,61.8599406509646,24.6740110027234,76.3304268251059
19.09547738693467,29.1551139416504,62.8649657765928,24.6740110027234,77.4793402246004
19.597989949748744,29.5098138528421,63.8699909022209,24.6740110027234,78.6321780018510
20.100502512562812,29.8607775883461,64.8750160278491,24.6740110027234,79.7887519547892
20.60301507537688,30.2081831053462,65.8800411534772,24.6740110027234,80.9488841262313
21.105527638190953,30.5521986643897,66.8850662791053,24.6740110027234,82.1124062556300
21.608040201005025,30.8929833580808,67.8900914047335,24.6740110027234,83.2791592503811
22.110552763819094,31.2306876187653,68.8951165303616,24.6740110027234,84.4489926781388
22.613065326633162,31.5654537042876,69.9001416559898,24.6740110027234,85.6217642810587
23.115577889447234,31.8974161613362,70.9051667816179,24.6740110027234,86.7973395124524
23.618090452261306,32.2267022662449,71.9101919072460,24.6740110027234,87.9755910959858
24.120603015075375,32.5534324433959,72.9152170328742,24.6740110027234,89.1563986072771
24.623115577889443,32.8777206615890,73.9202421585023,24.6740110027234,90.3396480775262
25.125628140703515,33.1996748089110,74.9252672841305,24.6740110027234,91.5252316186464
25.628140703517587,33.5193970467625,75.9302924097586,24.6740110027234,92.7130470692371
26.130653266331656,33.8369841437933,76.9353175353867,24.6740110027234,93.9029976606485
26.633165829145725,34.1525277905581,77.9403426610149,24.6740110027234,95.0949917023259
27.135678391959797,34.4661148957449,78.9453677866430,24.6740110027234,96.2889422855814
27.63819095477387,34.7778278648502,79.9503929122712,24.6740110027234,97.4847670049183
28.140703517587937,35.0877448621795,80.9554180378993,24.6740110027234,98.6823876960312
28.643216080402006,35.3959400570470,81.9604431635274,24.6740110027234,99.8817301896059
29.145728643216078,35.7024838550351,82.9654682891556,24.6740110027234,101.082724080060
29.64824120603015,36.0074431151497,83.9704934147837,24.6740110027234,102.285302508388
30.15075376884422,36.3108813536851,84.9755185404119,24.6740110027234,103.489401958294
30.653266331658287,36.6128589355767,85.9805436660400,24.6740110027234,104.694962064845
31.15577889447236,36.9134332539931,86.9855687916682,24.6740110027234,105.901925434871
31.65829145728643,37.2126588988794,87.9905939172963,24.6740110027234,107.110237478427
32.1608040201005,37.5105878151318,88.9956190429244,24.6740110027234,108.319846250617
32.66331658291457,37.8072694510483,90.0006441685526,24.6740110027234,109.530702303142
33.16582914572864,38.1027508976634,91.0056692941807,24.6740110027234,110.742758544969
33.66834170854271,38.3970770195425,92.0106944198089,24.6740110027234,111.955970111532
34.17085427135678,38.6902905775781,93.0157195454370,24.6740110027234,113.170294241939
34.67336683417085,38.9824323442962,94.0207446710651,24.6740110027234,114.385690163663
35.175879396984925,39.2735412121527,95.0257697966933,24.6740110027234,115.602118984249
35.678391959798994,39.5636542952684,96.0307949223214,24.6740110027234,116.819543589575
36.18090452261306,39.8528070250231,97.0358200479496,24.6740110027234,118.037928548263
36.68341708542713,40.1410332399037,98.0408451735777,24.6740110027234,119.257240021825
37.1859296482412,40.4283652699754,99.0458702992058,24.6740110027234,120.477445680195
37.688442211055275,40.7148340163199,100.050895424834,24.6740110027234,121.698514622293
38.19095477386934,41.0004690257641,101.055920550462,24.6740110027234,122.920417301291
38.69346733668341,41.2852985612014,102.060945676090,24.6740110027234,124.143125454296
39.19597989949749,41.5693496677852,103.065970801718,24.6740110027234,125.366612036154
39.698492462311556,41.8526482352592,104.070995927347,24.6740110027234,126.590851157122
40.201005025125625,42.1352190566701,105.076021052975,24.6740110027234,127.815818024154
40.70351758793969,42.4170858836907,106.081046178603,24.6740110027234,129.041488885575
